,Q1,Q2,Q3,Q4,Q5,Q7,Q9,Q10,Q11,Q12,Q13,Q14,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q29,Q30,Q32,Q45
114,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,10.0,15.0,6.0
115,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,15.0,5.0,1.0,0.0,0.0,0.0,20.0,1.0,5.0,11.0,5.0
116,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,10.0,10.0,5.0
117,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0,11.0,5.0
118,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,10.0,15.0,5.0
119,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,15.0,5.0,0.0,0.0,1.0,0.0,20.0,1.0,10.0,15.0,5.0
120,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,10.0,15.0,5.0
121,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,0.0,15.0,1.0,10.0,15.0,5.0
122,20.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,15.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,10.0,15.0,5.0
123,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,10.0,15.0,10.0
124,15.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,15.0,5.0,0.0,1.0,0.0,0.0,10.0,1.0,10.0,11.0,6.0
125,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,5.0,0.0,0.0,1.0,1.0,20.0,1.0,15.0,10.0,5.0
126,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,15.0,5.0,1.0,0.0,0.0,0.0,10.0,1.0,10.0,15.0,5.0
127,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,1.0,0.0,0.0,1.0,10.0,1.0,10.0,10.0,5.0
128,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,10.0,15.0,5.0
129,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,5.0,1.0,0.0,0.0,0.0,20.0,1.0,10.0,15.0,5.0
130,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,15.0,1.0,0.0,0.0,0.0,10.0,1.0,10.0,10.0,6.0
